                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                  1.415,                 2.4744,                 1.5881,                0.32355,                0.55759,                0.35205,                0.18659,                  1.389,                 2.2468,                 2.0558,              0.0004727,              0.0004727,              0.0004727
                      2,                 1.3764,                 1.9716,                 1.5384,                0.32013,                 0.4289,                0.26043,                0.12759,                 1.5793,                 2.6719,                 2.1795,             0.00093964,             0.00093964,             0.00093964
                      3,                 1.3834,                 1.8557,                 1.5507,                0.31468,                0.49225,                  0.274,                0.11509,                 1.7779,                 2.5386,                 2.3109,              0.0013971,              0.0013971,              0.0013971
                      4,                 1.4149,                 1.7702,                 1.5631,                0.30438,                0.44272,                0.27133,                0.11863,                 1.8523,                 2.2092,                 2.3568,              0.0013866,              0.0013866,              0.0013866
                      5,                 1.3616,                 1.6882,                 1.5363,                0.43009,                0.55802,                0.45622,                 0.2641,                 1.4459,                 1.8476,                 1.9698,              0.0013724,              0.0013724,              0.0013724
                      6,                 1.3425,                 1.6022,                 1.5107,                0.39666,                0.54229,                0.41218,                0.22854,                 1.4091,                 1.9257,                 1.9738,              0.0013583,              0.0013583,              0.0013583
                      7,                 1.3257,                 1.5917,                 1.5178,                0.52043,                0.54825,                0.51908,                0.33205,                 1.2948,                 1.6704,                 1.8305,              0.0013441,              0.0013441,              0.0013441
                      8,                 1.3166,                 1.5165,                 1.4751,                0.43412,                0.60143,                0.47807,                0.29426,                 1.3025,                 1.6541,                 1.8557,                0.00133,                0.00133,                0.00133
                      9,                 1.2821,                 1.4894,                 1.4823,                0.46821,                0.53592,                0.48377,                0.28559,                 1.3654,                 1.6601,                 1.8782,              0.0013158,              0.0013158,              0.0013158
                     10,                 1.2513,                 1.4495,                 1.4514,                0.40137,                0.57341,                0.42271,                 0.2583,                 1.3673,                 1.8127,                 1.9082,              0.0013017,              0.0013017,              0.0013017
                     11,                 1.2759,                 1.4284,                 1.4692,                0.52136,                0.57115,                0.54912,                0.32631,                 1.3165,                 1.6989,                 1.8681,              0.0012875,              0.0012875,              0.0012875
                     12,                 1.2621,                 1.3746,                 1.4441,                0.51974,                0.59648,                0.55701,                0.34635,                 1.1919,                 1.5795,                 1.7124,              0.0012734,              0.0012734,              0.0012734
                     13,                  1.236,                 1.3548,                 1.4289,                0.58928,                0.55753,                0.55221,                0.35086,                 1.2483,                 1.4957,                 1.7539,              0.0012592,              0.0012592,              0.0012592
                     14,                  1.193,                 1.3392,                 1.4237,                0.54009,                 0.5379,                0.53715,                0.33983,                 1.2299,                 1.5408,                 1.7256,              0.0012451,              0.0012451,              0.0012451
                     15,                 1.2279,                 1.3088,                 1.4173,                0.49066,                0.57699,                0.51986,                0.33348,                 1.2928,                 1.5707,                 1.8179,              0.0012309,              0.0012309,              0.0012309
                     16,                 1.1979,                 1.3058,                 1.4116,                0.56611,                0.57945,                 0.5865,                0.37293,                 1.2331,                 1.4843,                 1.7368,              0.0012168,              0.0012168,              0.0012168
                     17,                 1.1735,                 1.2633,                 1.3926,                0.48116,                0.61556,                0.52854,                0.32632,                 1.2342,                 1.4974,                 1.7573,              0.0012026,              0.0012026,              0.0012026
                     18,                 1.1875,                 1.2537,                 1.4027,                0.56411,                0.56136,                0.55926,                0.36084,                 1.2029,                 1.4138,                 1.7175,              0.0011885,              0.0011885,              0.0011885
                     19,                 1.1785,                 1.2357,                  1.388,                0.55847,                0.61765,                0.59925,                0.39869,                 1.1529,                 1.3429,                 1.6607,              0.0011744,              0.0011744,              0.0011744
                     20,                  1.169,                  1.224,                 1.3782,                  0.432,                0.50312,                0.44937,                0.28277,                 1.2478,                 1.6917,                 1.7611,              0.0011602,              0.0011602,              0.0011602
                     21,                 1.1629,                 1.2112,                 1.3872,                0.63351,                0.57149,                0.62262,                0.41642,                  1.153,                 1.3589,                 1.6785,              0.0011461,              0.0011461,              0.0011461
                     22,                 1.1772,                 1.2176,                 1.3907,                 0.5935,                0.65049,                0.64077,                0.41825,                 1.1846,                 1.3069,                 1.7117,              0.0011319,              0.0011319,              0.0011319
                     23,                 1.1399,                 1.1784,                  1.379,                0.56952,                0.64596,                0.62184,                0.42607,                  1.188,                 1.3358,                 1.7263,              0.0011178,              0.0011178,              0.0011178
                     24,                 1.1486,                 1.1793,                 1.3703,                 0.5274,                0.64113,                0.61392,                0.39727,                 1.2161,                 1.4165,                 1.7167,              0.0011036,              0.0011036,              0.0011036
                     25,                 1.1503,                 1.1495,                 1.3686,                0.62356,                0.63485,                0.66466,                0.45384,                 1.1503,                 1.3071,                 1.6876,              0.0010895,              0.0010895,              0.0010895
                     26,                 1.1355,                 1.1541,                 1.3617,                0.57016,                0.61702,                0.60026,                0.39904,                 1.2388,                 1.3627,                 1.7943,              0.0010753,              0.0010753,              0.0010753
                     27,                 1.1199,                  1.118,                 1.3396,                   0.63,                0.64437,                0.66704,                0.46305,                 1.1476,                 1.2515,                 1.6673,              0.0010612,              0.0010612,              0.0010612
                     28,                  1.132,                 1.1465,                 1.3681,                0.66751,                0.65568,                0.68105,                0.47396,                 1.1553,                 1.2363,                 1.6858,               0.001047,               0.001047,               0.001047
                     29,                  1.125,                 1.1058,                  1.354,                0.67833,                0.63347,                0.66228,                0.45989,                 1.1555,                 1.2354,                 1.7268,              0.0010329,              0.0010329,              0.0010329
                     30,                 1.1066,                 1.1055,                 1.3439,                0.70933,                0.66158,                0.71519,                0.49123,                 1.1239,                  1.139,                 1.6418,              0.0010187,              0.0010187,              0.0010187
                     31,                 1.1199,                 1.0679,                 1.3338,                0.68188,                0.64342,                0.67452,                0.46977,                 1.1374,                 1.2161,                 1.6711,              0.0010046,              0.0010046,              0.0010046
                     32,                 1.0969,                 1.0763,                 1.3482,                0.66795,                0.65546,                0.67696,                0.45988,                 1.1167,                 1.2094,                 1.6236,             0.00099044,             0.00099044,             0.00099044
                     33,                    1.1,                 1.0611,                 1.3349,                0.70127,                 0.6385,                0.67014,                0.45653,                 1.1497,                 1.2051,                 1.6762,             0.00097629,             0.00097629,             0.00097629
                     34,                 1.0909,                 1.0257,                 1.3137,                0.69803,                0.64732,                0.69681,                0.48005,                 1.1295,                  1.204,                  1.637,             0.00096215,             0.00096215,             0.00096215
                     35,                 1.0823,                 1.0496,                  1.324,                0.63302,                 0.6379,                0.63075,                0.44075,                 1.1136,                  1.265,                 1.6198,               0.000948,               0.000948,               0.000948
                     36,                 1.0765,                  1.025,                 1.3087,                0.68387,                0.68479,                 0.7004,                0.47472,                 1.1429,                 1.1816,                 1.6676,             0.00093385,             0.00093385,             0.00093385
                     37,                 1.0736,                 1.0255,                 1.3159,                 0.6993,                0.64554,                0.67848,                0.46956,                 1.1551,                 1.1936,                 1.6829,              0.0009197,              0.0009197,              0.0009197
                     38,                 1.0718,                 1.0224,                 1.3143,                0.62317,                0.69205,                0.67236,                0.47344,                 1.1098,                 1.2063,                 1.6455,             0.00090556,             0.00090556,             0.00090556
                     39,                 1.0732,                 1.0218,                 1.3148,                 0.6662,                0.68849,                0.71224,                0.49902,                 1.1373,                 1.1331,                 1.6848,             0.00089141,             0.00089141,             0.00089141
                     40,                 1.0623,                 1.0229,                 1.3185,                  0.705,                0.66919,                0.71831,                0.51622,                  1.081,                 1.1029,                 1.5933,             0.00087726,             0.00087726,             0.00087726
                     41,                 1.0575,                0.98971,                 1.3012,                0.68292,                0.66895,                0.69878,                 0.4997,                 1.1463,                 1.1713,                 1.6946,             0.00086312,             0.00086312,             0.00086312
                     42,                 1.0654,                 1.0017,                 1.3032,                0.71584,                0.66665,                0.71424,                0.50985,                 1.1017,                  1.109,                 1.6284,             0.00084897,             0.00084897,             0.00084897
                     43,                 1.0616,                0.98805,                  1.301,                0.71183,                0.66207,                0.69149,                0.48827,                 1.1466,                 1.1379,                 1.7095,             0.00083482,             0.00083482,             0.00083482
                     44,                 1.0247,                0.97522,                 1.2939,                0.73643,                0.65975,                0.72365,                0.51731,                 1.1127,                 1.1408,                 1.6492,             0.00082067,             0.00082067,             0.00082067
                     45,                 1.0368,                0.94873,                 1.3015,                0.72624,                0.69344,                0.73934,                0.51702,                 1.1036,                 1.0909,                 1.6154,             0.00080653,             0.00080653,             0.00080653
                     46,                 1.0247,                0.92694,                 1.2867,                 0.6944,                0.69867,                0.72211,                0.50772,                 1.0958,                 1.1057,                 1.6153,             0.00079238,             0.00079238,             0.00079238
                     47,                 1.0402,                 0.9532,                 1.3016,                0.73231,                0.68329,                0.73802,                0.51373,                 1.1263,                 1.0824,                 1.6827,             0.00077823,             0.00077823,             0.00077823
                     48,                  1.029,                0.92925,                 1.2796,                 0.7055,                0.68892,                0.72523,                0.51816,                 1.1245,                 1.1015,                 1.6816,             0.00076409,             0.00076409,             0.00076409
                     49,                  1.025,                 0.9269,                 1.2776,                0.68102,                0.68566,                0.70792,                0.50637,                 1.1196,                  1.104,                 1.6679,             0.00074994,             0.00074994,             0.00074994
                     50,                  1.016,                0.91772,                 1.2732,                0.75831,                0.67134,                0.73745,                0.54081,                  1.098,                 1.0686,                 1.6491,             0.00073579,             0.00073579,             0.00073579
                     51,                 1.0181,                0.91974,                 1.2956,                0.72456,                0.69023,                0.73609,                 0.5311,                 1.0919,                 1.0717,                 1.6478,             0.00072164,             0.00072164,             0.00072164
                     52,                 1.0012,                0.89442,                 1.2712,                0.75189,                0.65312,                0.73744,                0.53056,                 1.1078,                 1.1214,                 1.6304,              0.0007075,              0.0007075,              0.0007075
                     53,                 1.0076,                0.87769,                 1.2636,                0.69661,                0.72425,                0.74469,                0.53029,                 1.1218,                 1.0684,                 1.6613,             0.00069335,             0.00069335,             0.00069335
                     54,                 1.0025,                0.88115,                 1.2555,                0.66922,                0.72925,                0.68059,                0.48771,                 1.0795,                 1.1746,                  1.627,              0.0006792,              0.0006792,              0.0006792
                     55,                 1.0042,                0.88445,                 1.2649,                0.69309,                0.72264,                0.73139,                  0.514,                 1.0857,                 1.0855,                 1.6087,             0.00066506,             0.00066506,             0.00066506
                     56,                0.98502,                0.89271,                 1.2599,                0.71701,                0.69085,                 0.7254,                0.51737,                 1.1046,                 1.0837,                 1.6614,             0.00065091,             0.00065091,             0.00065091
                     57,                0.98466,                0.86463,                 1.2504,                0.76914,                0.64855,                0.74476,                0.53937,                 1.0811,                  1.042,                 1.6361,             0.00063676,             0.00063676,             0.00063676
                     58,                0.99174,                0.87975,                 1.2533,                0.69268,                0.72513,                0.71689,                0.50949,                   1.12,                 1.0439,                  1.677,             0.00062262,             0.00062262,             0.00062262
                     59,                0.98831,                0.86537,                 1.2493,                0.68034,                0.70069,                0.70455,                 0.4976,                 1.1509,                 1.1082,                  1.727,             0.00060847,             0.00060847,             0.00060847
                     60,                0.97225,                0.86102,                 1.2476,                 0.6567,                0.73515,                0.72396,                0.52215,                 1.0881,                 1.1004,                 1.6308,             0.00059432,             0.00059432,             0.00059432
                     61,                0.96647,                0.84777,                 1.2424,                0.72869,                0.71846,                0.72825,                0.52147,                 1.1034,                 1.0366,                 1.6471,             0.00058017,             0.00058017,             0.00058017
                     62,                0.96734,                0.83794,                 1.2396,                0.73885,                 0.7097,                0.74019,                0.52842,                  1.109,                 1.0253,                  1.659,             0.00056603,             0.00056603,             0.00056603
                     63,                0.96178,                0.85339,                 1.2381,                0.70594,                0.74469,                0.76937,                0.55537,                 1.0927,                0.99406,                 1.6588,             0.00055188,             0.00055188,             0.00055188
                     64,                0.96606,                0.83558,                 1.2335,                0.71546,                0.73386,                0.75063,                0.54582,                 1.0764,                 1.0125,                 1.6434,             0.00053773,             0.00053773,             0.00053773
                     65,                0.94832,                0.81616,                 1.2304,                0.73285,                0.70439,                0.75184,                0.54978,                 1.0614,                 1.0231,                 1.6179,             0.00052359,             0.00052359,             0.00052359
                     66,                0.94263,                0.80036,                 1.2274,                 0.7079,                0.71999,                 0.7428,                0.54636,                 1.0767,                 1.0401,                 1.6111,             0.00050944,             0.00050944,             0.00050944
                     67,                0.93117,                0.81375,                 1.2215,                0.69506,                0.70655,                0.69194,                0.50593,                  1.087,                 1.0526,                 1.6505,             0.00049529,             0.00049529,             0.00049529
                     68,                 0.9516,                0.81801,                 1.2397,                 0.7261,                0.72504,                0.74984,                0.54966,                 1.0803,                  1.012,                 1.6267,             0.00048114,             0.00048114,             0.00048114
                     69,                0.93373,                0.80718,                 1.2255,                 0.7003,                0.71475,                0.74437,                0.54377,                 1.1039,                 1.0226,                 1.6654,               0.000467,               0.000467,               0.000467
                     70,                0.93595,                0.78502,                 1.2181,                0.70178,                0.72386,                0.74245,                0.53979,                 1.1217,                 1.0365,                 1.7061,             0.00045285,             0.00045285,             0.00045285
                     71,                0.93532,                0.79135,                  1.215,                0.73734,                0.69471,                0.73429,                0.54068,                 1.0813,                 1.0408,                 1.6334,              0.0004387,              0.0004387,              0.0004387
                     72,                0.92024,                0.78677,                 1.2124,                0.73024,                0.73242,                 0.7576,                0.55098,                 1.0664,                 1.0225,                 1.6181,             0.00042456,             0.00042456,             0.00042456
                     73,                0.91671,                0.76656,                 1.2089,                0.71634,                0.72727,                0.74593,                0.54945,                 1.0395,                 1.0421,                 1.6032,             0.00041041,             0.00041041,             0.00041041
                     74,                0.90977,                0.76177,                 1.1994,                0.71101,                 0.7226,                0.74884,                0.55133,                 1.0885,                 1.0638,                 1.6478,             0.00039626,             0.00039626,             0.00039626
                     75,                0.90372,                0.74426,                 1.1969,                0.74006,                0.72968,                0.75422,                0.55597,                 1.0693,                 1.0232,                 1.6399,             0.00038211,             0.00038211,             0.00038211
                     76,                0.93296,                0.77266,                 1.2193,                0.72932,                0.70491,                0.74107,                0.54532,                 1.0734,                  1.006,                 1.6278,             0.00036797,             0.00036797,             0.00036797
                     77,                0.91632,                0.76983,                 1.2055,                0.73332,                0.74242,                0.76133,                0.55656,                 1.0988,                0.97909,                  1.658,             0.00035382,             0.00035382,             0.00035382
                     78,                0.91931,                0.76679,                 1.2095,                0.70737,                0.73998,                0.75084,                0.54963,                 1.1386,                 1.0375,                 1.7347,             0.00033967,             0.00033967,             0.00033967
                     79,                0.90613,                0.74182,                 1.2006,                0.76953,                0.70524,                0.76695,                0.56739,                 1.0745,                0.96723,                 1.6296,             0.00032553,             0.00032553,             0.00032553
                     80,                0.90804,                0.74767,                 1.1987,                0.73216,                0.72617,                0.74084,                0.54836,                 1.0785,                 1.0572,                 1.6517,             0.00031138,             0.00031138,             0.00031138
                     81,                0.88837,                 0.7363,                 1.1902,                0.71888,                0.72456,                0.74744,                0.53978,                 1.0797,                 1.0805,                 1.6372,             0.00029723,             0.00029723,             0.00029723
                     82,                0.89209,                0.73791,                 1.1982,                 0.7352,                0.72161,                0.75028,                0.55497,                 1.0613,                 1.0189,                 1.6352,             0.00028308,             0.00028308,             0.00028308
                     83,                0.89226,                0.73801,                 1.1913,                0.74604,                0.71074,                0.74341,                0.54834,                 1.0812,                 1.0485,                  1.665,             0.00026894,             0.00026894,             0.00026894
                     84,                0.88907,                 0.7288,                 1.1908,                0.73649,                0.73649,                0.75424,                0.56099,                 1.0772,                 1.0153,                 1.6768,             0.00025479,             0.00025479,             0.00025479
                     85,                0.87804,                0.70811,                 1.1846,                0.73056,                0.73905,                0.74716,                0.55463,                 1.0484,                 1.0293,                 1.6146,             0.00024064,             0.00024064,             0.00024064
                     86,                0.89184,                0.72159,                 1.1851,                 0.7268,                0.72481,                0.75191,                 0.5595,                 1.0646,                 1.0386,                 1.6294,              0.0002265,              0.0002265,              0.0002265
                     87,                0.85641,                0.69398,                 1.1784,                0.75136,                0.73202,                0.75366,                0.56193,                  1.045,                 1.0213,                 1.6173,             0.00021235,             0.00021235,             0.00021235
                     88,                0.86577,                0.69469,                 1.1764,                0.72464,                0.75322,                0.75617,                0.56273,                 1.0706,                 1.0212,                  1.659,              0.0001982,              0.0001982,              0.0001982
                     89,                 0.8765,                0.69841,                 1.1733,                 0.7526,                0.73591,                0.76606,                0.57181,                 1.0687,                 1.0236,                 1.6619,             0.00018406,             0.00018406,             0.00018406
                     90,                0.85569,                0.70423,                 1.1818,                0.73038,                0.75205,                0.76347,                0.56291,                 1.0532,                 1.0236,                 1.6213,             0.00016991,             0.00016991,             0.00016991
                     91,                0.83449,                 0.5597,                 1.1806,                0.72552,                0.73546,                0.74032,                0.54898,                 1.0687,                 1.0436,                  1.643,             0.00015576,             0.00015576,             0.00015576
                     92,                0.82385,                0.53618,                 1.1704,                0.75169,                0.72355,                0.74537,                0.55277,                 1.0588,                0.99882,                 1.6407,             0.00014161,             0.00014161,             0.00014161
                     93,                0.81314,                0.53457,                 1.1596,                0.74733,                0.75084,                  0.747,                0.55379,                 1.0482,                 1.0277,                  1.612,             0.00012747,             0.00012747,             0.00012747
                     94,                0.80092,                0.52188,                 1.1514,                0.75925,                0.72286,                0.75413,                0.56157,                 1.0516,                  1.019,                 1.6099,             0.00011332,             0.00011332,             0.00011332
                     95,                    0.8,                0.51896,                 1.1538,                0.73258,                0.75026,                0.74778,                0.55881,                   1.05,                 1.0402,                 1.6117,             9.9173e-05,             9.9173e-05,             9.9173e-05
                     96,                0.78547,                0.50479,                 1.1345,                0.75369,                0.74065,                0.74774,                0.54847,                 1.0536,                 1.0504,                 1.6204,             8.5026e-05,             8.5026e-05,             8.5026e-05
                     97,                 0.7878,                0.51972,                 1.1479,                0.76613,                0.73421,                0.75135,                 0.5521,                 1.0576,                 1.0478,                 1.6293,             7.0878e-05,             7.0878e-05,             7.0878e-05
                     98,                0.79252,                0.49749,                 1.1386,                0.74202,                0.73921,                0.75524,                0.55962,                 1.0557,                 1.0304,                  1.635,             5.6731e-05,             5.6731e-05,             5.6731e-05
                     99,                0.78285,                0.50488,                 1.1397,                0.73039,                0.75494,                0.75433,                0.56037,                 1.0528,                 1.0232,                 1.6279,             4.2584e-05,             4.2584e-05,             4.2584e-05
                    100,                0.76995,                0.49449,                 1.1329,                0.76201,                0.73921,                0.75883,                0.56347,                 1.0507,                 1.0195,                 1.6323,             2.8437e-05,             2.8437e-05,             2.8437e-05
